2025-04-27 19:14:01,382 | backend.flask | WARNING | User login success
2025-04-27 19:16:18,760 | backend.flask | ERROR | Unhandled exception
2025-04-27 19:16:18,760 | backend.flask | ERROR | Memory leak detected
2025-04-27 19:16:18,760 | backend.flask | ERROR | Database corruption
2025-04-27 19:16:18,760 | backend.flask | WARNING | System failure
2025-04-27 19:16:18,760 | backend.flask | WARNING | Database corruption
2025-04-27 19:16:18,760 | backend.flask | ERROR | User login success
2025-04-27 19:16:18,760 | backend.flask | WARNING | Unhandled exception
2025-04-27 19:16:18,760 | backend.flask | ERROR | Service timeout
2025-04-27 19:16:18,760 | backend.flask | CRITICAL | Database corruption
2025-04-27 19:16:18,760 | backend.flask | WARNING | Cache miss
2025-04-27 19:16:18,760 | backend.flask | INFO | System failure
